City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
136,luderitz,0,NA,1530727678,47,-26.65,15.16,61.86,6.44
137,barabai,20,ID,1530727678,95,-2.59,115.38,71.49,1.74
138,kapaa,75,US,1530723600,83,22.08,-159.32,77.0,13.87
139,paamiut,92,GL,1530727679,89,61.99,-49.67,41.43,13.94
140,dunedin,80,NZ,1530727440,94,-45.87,170.5,32.79,3.42
141,ila,0,NO,1530726600,48,63.43,10.37,64.4,6.93
142,poya,0,NC,1530727679,100,-21.35,165.16,70.5,18.3
143,thompson,90,CA,1530723600,87,55.74,-97.86,53.6,9.17
144,laguna,5,MX,1530722400,30,27.52,-110.01,95.0,3.42
145,pinawa,20,CA,1530727680,94,50.15,-95.88,75.63,14.27
146,siilinjarvi,0,FI,1530726600,59,63.08,27.67,66.2,4.7
147,ponta do sol,0,BR,1530727402,44,-20.63,-46.0,79.5,5.21
148,te anau,92,NZ,1530727680,90,-45.41,167.72,37.56,3.42
149,anjozorobe,20,MG,1530725400,76,-18.4,47.88,55.4,2.24
150,tuktoyaktuk,75,CA,1530723600,77,69.44,-133.03,59.0,9.17
151,salalah,90,OM,1530723000,88,17.01,54.1,80.6,8.05
152,la rioja,56,AR,1530727681,100,-29.41,-66.86,45.39,3.98
153,kerema,44,PG,1530727681,100,-7.96,145.78,71.4,1.63
154,santa cruz del sur,76,CU,1530727681,66,20.71,-78.0,91.74,9.57
155,la asuncion,75,EC,1530723600,59,-1.64,-78.74,60.8,11.41
156,rochegda,88,RU,1530727682,100,62.67,43.41,63.12,2.42
157,bijar,8,IR,1530727682,30,35.87,47.6,73.83,7.78
158,nyurba,48,RU,1530727682,98,63.29,118.35,67.08,4.99
159,kaitangata,80,NZ,1530727682,86,-46.28,169.85,39.18,5.55
160,loyga,88,RU,1530727683,94,61.08,44.61,62.31,14.27
161,salamanca,20,ES,1530727200,49,40.97,-5.66,68.0,13.87
162,contamana,32,PE,1530727683,66,-7.35,-75.01,85.44,2.75
163,goundam,0,ML,1530727683,27,16.42,-3.66,99.21,8.46
164,rayadrug,44,IN,1530727684,73,14.7,76.87,76.53,14.72
165,port hedland,0,AU,1530723600,93,-20.31,118.58,66.2,5.82
166,castro,76,CL,1530727684,100,-42.48,-73.76,43.77,5.66
167,prabumulih,20,ID,1530727684,67,-3.5,104.19,77.07,4.65
168,mount gambier,68,AU,1530727496,91,-37.83,140.78,48.9,5.88
169,lethem,32,GY,1530727685,82,3.38,-59.8,84.9,9.46
170,skibbereen,20,IE,1530725400,73,51.55,-9.27,69.8,9.17
171,ambulu,88,ID,1530727685,100,-8.35,113.61,74.19,10.69
172,rio negrinho,44,BR,1530727685,80,-26.26,-49.52,65.1,4.21
173,tasiilaq,75,GL,1530726600,80,65.61,-37.64,41.0,5.82
174,mahebourg,40,MU,1530723600,69,-20.41,57.7,75.2,19.46
175,ostrovnoy,100,RU,1530727686,95,68.05,39.51,56.01,11.48
176,redmond,90,US,1530724500,52,47.67,-122.12,69.8,8.05
177,avera,40,US,1530725700,52,33.19,-82.53,89.6,10.29
178,meadow lake,40,CA,1530723600,72,54.13,-108.44,62.6,9.17
179,margate,75,AU,1530723600,93,-43.03,147.26,48.2,5.82
180,aksarka,0,RU,1530727687,47,66.56,67.8,54.48,9.46
181,grindavik,75,IS,1530725400,81,63.84,-22.43,51.8,18.34
182,provideniya,24,RU,1530727687,100,64.42,-173.23,43.32,10.69
183,flinders,0,AU,1530723600,93,-34.58,150.85,46.4,8.05
184,pirgos,0,GR,1530726600,58,35.12,25.72,82.4,11.41
185,namwala,0,ZM,1530727687,47,-15.75,26.45,62.85,11.48
186,los llanos de aridane,20,ES,1530727200,69,28.66,-17.92,73.4,16.11
187,kichera,0,RU,1530727688,91,55.93,110.1,49.98,1.07
188,kushiro,100,JP,1530727688,100,43.11,144.15,51.42,5.88
189,hoi an,20,VN,1530725400,58,15.88,108.33,87.8,2.24
190,ambon,40,FR,1530727200,68,47.55,-2.56,71.6,12.75
191,korem,92,ET,1530727653,41,12.51,39.52,69.96,3.31
192,maniitsoq,76,GL,1530727689,83,65.42,-52.9,41.43,4.99
193,elizabeth city,90,US,1530727140,70,36.3,-76.22,91.4,13.87
194,tautira,20,PF,1530725400,78,-17.73,-149.15,77.0,2.24
195,belmonte,0,PT,1530727690,63,40.36,-7.35,68.52,7.11
196,bambous virieux,40,MU,1530723600,69,-20.34,57.76,75.2,19.46
197,rio grande,90,BR,1530723600,66,-32.03,-52.1,51.8,4.21
198,komatsu,75,JP,1530723600,88,36.4,136.45,73.4,9.17
199,maroua,24,CM,1530727690,82,10.6,14.33,78.06,4.99
200,olinda,90,EC,1530723600,69,-2.03,-79.75,77.0,8.05
201,berdigestyakh,56,RU,1530727690,55,62.1,126.7,73.83,10.02
202,bad doberan,20,DE,1530724800,53,54.11,11.9,71.6,9.17
